new membrane
50.89
first test
114.73,187.7,265.95,343.36,431.26
robot
114.67,225.67,373.65
program solder
81.98,152.76,213.48,257.67,371.54
main assembly
77.7,165.34,235.73,320.66,395.64,484.07
final test and pack
177.76,304.61
leak test
56.09,118.34,152.07
fit membrane
31.64,90.17,150.18,207.27
